citing_patent,cited_patents
07022828 ,4987071|5334711|5589332|5624803|5627053|5631359|5633133|5670633|5672695|5716824|5741679|5792847|5801154|5814620|5834186|5849902|5871914|5898031|5989912|6001311|6005087|6107094|6159714|6476205|6506559|2002/0012965|2359180|0360257|1325955|2000253884|WO 89/02439|90/14090|WO 91/03162|WO 92/07065|WO 93/15187|WO 93/23057|WO 93/23569|94/01550|WO 94/02595|95/04142|WO 95/04818|WO 95/11304|WO 95/11910|WO 95/13380|WO 95/23225|WO 96/10390|WO 96/10391|WO 96/10392|WO 96/19736|WO 97/26270|WO 98/13526|WO 98/27104|WO 98/28317|WO 98/43993|WO 98/58058|WO 99/04819|WO 99/05094|WO 99/16871|WO 99/29842|99/32619|99/49029|99/53050|WO 99/54459|WO 99/55857|99/61631|WO 00/24931|WO 00/26226|00/44914|00/49035|00/63364|01/36646|01/57206|01/96584|01/097850|02/07747|02/10378|02/22636|02/096927|03/068797|03/070910|03/080638|04/043977|04/072261|WO 95/06731
07176304 ,4501729|5138045|5214136|5334711|5587471|5624803|5627053|5631360|5670633|5672695|5716824|5792847|5804683|5814620|5831071|5854038|5889136|5898031|5902880|5916763|5998203|6001311|6005087|6008400|6054576|6107094|6111086|6117657|6146886|6153737|6162909|6180613|6362323|6235310|6248878|6300074|6303773|6335434|6346398|6353098|6395713|6437117|6447796|6469158|6476205|6506559|6528631|6565885|6582728|6586524|6592904|2001/0007666|2002/0130430|2003/0190635|2003/0206887|2004/0037780|4037501|2359180|1144623|1325955|08208687|89/02439|90/14090|91/03162|92/07065|93/15187|93/23569|94/01550|94/02595|94/11499|94/21791|95/04142|95/06731|95/11910|95/13380|96/10390|96/10391|96/10392|96/18736|97/00957|97/21808|97/26270|98/13526|99/04819|99/07409|99/14226|99/31262|99/32619|99/49029|99/53050|99/54459|99/55857|99/61631|00/01846|00/44895|00/44914|00/49035|00/53722|00/63364|00/66604|01/04313|01/29058|01/36646|01/38551|01/42443|01/49844|01/53475|01/68836|01/70944|01/70949|01/72774|01/75164|01/92513|01/96584|01/097850|02/07747|02/10378|02/22636|02/38805|PCT/US02/15876|PCT/US02/17674|02/44321|02/055692|02/055693|02/096927|WO 02/096927|PCT/US03/05022|PCT/US03/05028|PCT/US03/05346|WO 03/064625|WO 03/064626|03/24420|WO 03/030989|WO 03/043689|WO 04/013280|03/46185|03/47518|03/068797|03/070887|03/070896|03/070910|03/074654|03/080638|04/009769|04/043977|04/072261
07056704 ,5578716|5580859|5770580|5908779|5972704|6225290|6475726|6531647|2002/0086356|2002/0114784|2002/0132257|2002/0137210|2002/0160393|2003/0068301|2003/0108923|2003/0140362|2003/0148985|2003/0171311|2003/0190654|2003/0206887|2004/0038921|2004/0054156|2 359 180|0 983 370|2 349 885|2 362 885|2 370 275|WO 94/01550|WO 97/11170|WO 99/32619|WO 99/49029|WO 99/53050|WO 99/61631|WO 00/01846|WO 00/32619|00/44895|WO 00/44895|WO 00/63364|WO 00/63364|WO 01/75164|WO 01/75164|WO 01/92513|WO 02/44321|WO 02/055692|WO 02/059300|WO 02/059300|WO 03/029459|WO 03/033700|WO 03/099298
07413870 ,5589356|5650501|5959081|5976893|6569662|WO 01/53312
06806066 ,WO 89/07141
07368248 ,5155037|5162222|6639063|0 397 485
07429656 ,2001/0053519|2004/0265796|WO-2004/092383
07393683 ,5728568|6054304|1 176 195|97/27303|WO97/30087|97/37683|99/54342|99/64618|00/61739
07129223 ,2001/0053519|WO 2004/092383
07282564 ,4469863|4511713|5034323|5107065|5190931|5208149|5258369|5272065|5365015|5453566|5738985|5795715|5874555|5976567|6010908|6136601|WO 98/04717|WO 98/54315|WO 99/32619|WO 99/53050|WO 99/61631|WO 00/01846|WO 00/63364
07422853 ,6544790|2003/0036197|2003/0068821|2003/0139363|2003/0143597|2003/0144232|2003/0144239|2003/0150017|2003/0167490|2003/0224432|2004/0029275|2004/0203145|2004/0224405|2004/0259247
07150970 ,1 382 679
07361752 ,4957735|5013556|5043164|5686101|5705187|5817856|5820873|5853755|6107094|2003/0175950|2005/0107325|2005/0245475|WO 2004/064737|WO 2004/080406|WO 2004/094345|WO 2004/094595
07101991 ,5801154|5998148|2003/0060399|0813872|WO 01/70976
07109173 ,6617438|6620805|6673611|6790641|6825006|6828149
07368559 ,WO-96/40199|WO 96/40199|WO 02/062954|WO-03/070912|WO 2004/052364|WO 2005/007623
07078196 ,5578716|5580859|5770580|5908779|5972704|5998203|6225290|6475726|6531647|2002/0086356|2002/0114784|2002/0132257|2002/0137210|2002/0160393|2003/0068301|2003/0108923|2003/0140362|2003/0148985|2003/0171311|2003/0190654|2003/0206887|2004/0038921|2004/0053875|2004/0054156|2004/0259248|2 359 180|0 983 370|2 349 885|2 362 885|2 370 275|WO 94/01550|WO 97/11170|WO 99/32619|WO 99/49029|WO 99/53050|WO 99/61631|WO 00/01846|WO 00/32619|00/44895|WO 00/44895|WO 00/44895|WO 00/63364|WO 01/75164|WO 01/75164|WO 01/92513|WO 02/44321|WO 02/055692|WO 02/059300|WO 03/029459|WO 03/033700|WO 03/062394|WO 03/099298
07419779 ,WO 99/61590|PCT/US03/027523
07232808 ,5811231|282899|WO99/58547|WO 03/057926
